AA	Total_RNA_control_2	Total_RNA_control_1	Total_RNA_treated_1	Total_RNA_treated_2	tRNA_treated2	tRNA_treated1	tRNA_control2	tRNA_control1
Thr	1.0791812460476249	1.1139433523068367	2.2380461031287955	2.184691430817599	2.7902851640332416	2.77305396099521	2.1172712956557644	1.9084850188786497
Ile	1.1139433523068367	1.1139433523068367	1.8920834667917656	1.8573324964312685	2.5587145690343074	2.5024257542763673	1.7075701760979363	1.9590413923210936
Met	1.1760912590556813	1.1139433523068367	1.7781512503836436	1.9138138523837167	2.089905111439398	2.167317334748176	2.0043213737826426	1.8920946026904804
iMet	1.380211241711606	1.505149978319906	2.5224442335063197	2.45178643552429	3.0350292822023683	3.076276255404218	2.4712917110589387	2.6599162000698504
Gln	1.7708372895457716	1.9542328583436033	2.184691430817599	2.161368002234975	2.8898617212581885	3.080627929758219	2.6493329111988877	2.8129160292160593
Gly	2.1072167554461343	1.9637972684273244	2.528914130480218	2.3979434830139956	2.9689487480168992	3.0614517251030633	2.775243345002389	2.9675470402383666
Asp	2.220176104740871	2.1732183292375664	2.233036744232182	2.3364437226969157	2.715994156538972	2.876220728178332	2.7774159467652777	2.8796663408832788
His	2.0606827341958716	2.113940011567204	2.3304198615469174	2.170305729497176	2.8108995819394593	2.781030467297526	2.631446813122704	2.657052983060297
Trp	2.290034611362518	2.230448921378274	2.5024271199844326	2.5943925503754266	2.220108088040055	2.2833012287035497	2.403120521175818	2.399673721481038
Pro	1.7993405494535817	1.7481880270062005	1.6020599913279625	1.43123506524505	2.133494199284073	2.338506295162128	2.271850896158683	2.1789769472931693
Cys	1.8512583487190752	1.8808135922807914	2.0086001717619175	2.012837224705172	2.029371601033707	1.8692317197309762	2.320146286111054	2.1818435879447726
Ser	1.7708225669503195	1.6812412373755872	2.107196397733247	2.2201054718003563	2.6618136317115724	2.5976940892208904	2.0644579892269186	2.0530746001524145
Asn	1.8388742664992348	1.8195505157114418	2.0211892990699383	2.037414544716994	2.5681970289661358	2.611731802681857	2.3180695987803097	2.4281153475718393
Tyr	1.9444826721501687	1.8750612633917	2.008608687256509	2.060705393235446	2.285552808523503	2.2741670894735058	2.44870631990508	2.468344376017878
Val	2.5185086756704447	2.562302383135326	2.8363158855584123	2.846340824032591	3.5910618230785896	3.651665410214381	3.4303953344684275	3.5444385256023794
Glu	3.3716241420168602	3.2746221574681456	3.1470527182476524	3.161368002234975	2.3802003842138393	2.454838764604586	2.440913802631757	2.3891784926010415
Lys	2.7937903846908188	2.775974331129369	2.9169789957586203	2.923246091630016	3.127429101710152	3.0962156293222702	3.09725730969342	2.989004615698537
Leu	2.5526669995993356	2.61066016308988	2.6785138266631945	2.7846172926328756	2.5728553448835054	2.5899462519980223	2.551445118232181	2.367354057097204
Phe	2.571706503145705	2.59217231446284	2.6424684773492135	2.6693187404956706	2.7831886910752575	2.7481849248916794	2.896525115217898	2.8887409606828927
Ala	2.775974331129369	2.892652146025638	2.36172594777661	2.113943352306837	2.437750562820388	2.292256071356476	2.964259630196849	2.9242792860618816
Arg	2.88024177589548	2.931966114728173	2.5877109650189114	2.7007037171450192	2.496931031174458	2.6512789834043877	3.2201078264167946	3.251638220448212
